,playlist,track_id,year,Title,Artist,Album,Genre,spotify_id,popularity,Genre2
189,Replay 2017,1692,2017,Wake Me Up,Ed Sheeran,+ (Deluxe Version),Pop,0ygAYQQy7bfDN6gH640bbl,51.0,Pop
190,Replay 2017,3349,2017,Garden (Say It Like Dat),SZA,Ctrl,R&B/Soul,19woxaSpjOefa2JnAOoqW5,70.0,R&B/Soul
191,Replay 2017,3339,2017,Doves In The Wind (feat. Kendrick Lamar),SZA,Ctrl,R&B/Soul,593W4qZOwwdqF6YnimJjL6,73.0,R&B/Soul
192,Replay 2017,3319,2017,Nancy Mulligan,Ed Sheeran,÷ (Deluxe),Pop,35QZaWQRkmnAVqBF1TLCxQ,68.0,Pop
193,Replay 2017,3261,2017,I'm a Mess,Ed Sheeran,x (Wembley Edition),Pop,0xCA70t1ZA4fa9UOE0lIJm,60.0,Pop
194,Replay 2017,3345,2017,The Weekend,SZA,Ctrl,R&B/Soul,6gU9OKjOE7ghfEd55oRO57,77.0,R&B/Soul
195,Replay 2017,1666,2017,Afire Love,Ed Sheeran,x (Wembley Edition),Pop,12B0Twa9kRz45Xw2PgXHJm,57.0,Pop
196,Replay 2017,3337,2017,Love Galore (feat. Travis Scott),SZA,Ctrl,R&B/Soul,0q75NwOoFiARAVp4EXU4Bs,80.0,R&B/Soul
197,Replay 2017,3315,2017,Barcelona,Ed Sheeran,÷ (Deluxe),Pop,3Lfiu5sZ4M4B6JaKMBc0FU,62.0,Pop
198,Replay 2017,3075,2017,I See Fire,Ed Sheeran,x (Deluxe Edition),Singer/Songwriter,1f1wT6Q7Buxb3OD0BqMW8O,70.0,Singer/Songwriter
199,Replay 2017,3343,2017,Prom,SZA,Ctrl,R&B/Soul,5yvhdo8FXbBsIllxv2Rr94,69.0,R&B/Soul
200,Replay 2017,3307,2017,Galway Girl,Ed Sheeran,÷ (Deluxe),Pop,0afhq8XCExXpqazXczTSve,81.0,Pop
201,Replay 2017,3313,2017,Supermarket Flowers,Ed Sheeran,÷ (Deluxe),Pop,4VuS959DSpr82t3qBqCrWG,74.0,Pop
202,Replay 2017,3311,2017,What Do I Know?,Ed Sheeran,÷ (Deluxe),Pop,2pJZ1v8HezrAoZ0Fhzby92,65.0,Pop
203,Replay 2017,3309,2017,Hearts Don't Break Around Here,Ed Sheeran,÷ (Deluxe),Pop,2dfHh7ECGxfNqZTQno09Vk,60.0,Pop
204,Replay 2017,3067,2017,Give Me Love,Ed Sheeran,+ (Deluxe Version),Singer/Songwriter,0SuG9kyzGRpDqrCWtgD6Lq,70.0,Singer/Songwriter
205,Replay 2017,3265,2017,Sing,Ed Sheeran,x (Wembley Edition),Pop,6K8qKeWo5MsFED7wCR6Kop,68.0,Pop
206,Replay 2017,1704,2017,Thinking Out Loud,Ed Sheeran,x (Wembley Edition),Pop,1Slwb6dOYkBlWal1PGtnNg,68.0,Pop
207,Replay 2017,3227,2017,Gold Rush (Bonus Track),Ed Sheeran,+ (Deluxe Version),Pop,,,Pop
208,Replay 2017,3361,2017,Rise Up,Andra Day,Cheers to the Fall,R&B/Soul,0tV8pOpiNsKqUys0ilUcXz,75.0,R&B/Soul
209,Replay 2017,3341,2017,Drew Barrymore,SZA,Ctrl,R&B/Soul,06u5LrUpbosQlQ1QJFhPpG,75.0,R&B/Soul
210,Replay 2017,1694,2017,Tenerife Sea,Ed Sheeran,x (Wembley Edition),Pop,6vSwxzO2Qf4BinHSXRwZJe,54.0,Pop
211,Replay 2017,1810,2017,Lego House,Ed Sheeran,+ (Deluxe Version),Pop,5ubHAQtKuFfiG4FXfLP804,72.0,Pop
212,Replay 2017,3353,2017,Anything,SZA,Ctrl,R&B/Soul,0336UwEBwBBao8uWCuugYr,60.0,R&B/Soul
213,Replay 2017,1684,2017,Don't,Ed Sheeran,x (Wembley Edition),Pop,1huvTbEYtgltjQRXzrNKGi,71.0,Pop
214,Replay 2017,5119,2017,Love Me Harder,Ariana Grande,,,5J4ZkQpzMUFojo1CtAZYpn,82.0,Pop
215,Replay 2017,3351,2017,Broken Clocks,SZA,Ctrl,R&B/Soul,2fXwCWkh6YG5zU1IyvQrbs,83.0,R&B/Soul
216,Replay 2017,3357,2017,Normal Girl,SZA,Ctrl,R&B/Soul,5fQBa4wkmq28xpSLOQ202K,77.0,R&B/Soul
217,Replay 2017,5101,2017,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,,,1nueTG77MzNkJTKQ0ZdGzT,66.0,Pop
218,Replay 2017,3317,2017,Bibia Be Ye Ye,Ed Sheeran,÷ (Deluxe),Pop,6SznMYPQJHzr3IwsAHLId2,59.0,Pop
219,Replay 2017,1682,2017,U.N.I.,Ed Sheeran,+ (Deluxe Version),Pop,5Ukzlujip1Slqka5OY82YS,52.0,Pop
220,Replay 2017,1668,2017,Grade 8,Ed Sheeran,+ (Deluxe Version),Pop,0obzwoGjXdORtAwYWZ9s53,50.0,Pop
221,Replay 2017,3355,2017,Wavy (Interlude) [feat. James Fauntleroy],SZA,Ctrl,R&B/Soul,3LcoHjgdNl4xtWVaJGSA1p,58.0,R&B/Soul
222,Replay 2017,3019,2017,La La Latch,Pentatonix,"PTX, Vol. III - EP",Pop,6fOqEAXCwboCO4BdzbZG1K,42.0,Pop
223,Replay 2017,2599,2017,We Are Young,Pentatonix,"PTX, Vol. 1 - EP",Pop,5mMoySkxdUWlTw6X2l4egi,42.0,Pop
224,Replay 2017,3363,2017,Say You Won't Let Go,James Arthur,Back from the Edge (Deluxe Edition),Pop,5uCax9HTNlzGybIStD3vDh,85.0,Pop
225,Replay 2017,2785,2017,Daft Punk,Pentatonix,"PTX, Vol. II - EP",Pop,6ukvsBzq4d1vBsAUmz7ZVt,55.0,Pop
226,Replay 2017,3359,2017,20 Something,SZA,Ctrl,R&B/Soul,4h6ViRoztTBpWcJ1zFT9Zg,72.0,R&B/Soul
227,Replay 2017,3375,2017,Even My Dad Does Sometimes,Ed Sheeran,x (Wembley Edition),Pop,0N5zjRnf8AreOm95iSBXF4,52.0,Pop
228,Replay 2017,5109,2017,Everything You Are,The Stylistics,,,0TFBANCgctg5hAt9ez2V2g,60.0,
229,Replay 2017,3365,2017,Let It Go,James Bay,Chaos and the Calm,Alternative,2xsAm4w9P3kSF1DophKAiF,67.0,Alternative
230,Replay 2017,3367,2017,Shirtsleeves,Ed Sheeran,x (Wembley Edition),Pop,7awwmuGslmuyhnlpFipDqk,50.0,Pop
231,Replay 2017,3371,2017,The Man,Ed Sheeran,x (Wembley Edition),Pop,1gHF0I223J5pv06SuBcmkz,51.0,Pop
232,Replay 2017,3395,2017,Dangerous Woman,Ariana Grande,Dangerous Woman,Pop,6RUhbFEhrvGISaQ8u2j2JN,72.0,Pop
233,Replay 2017,5121,2017,Cold (feat. Future),Maroon 5,,,7gwLQ4tZ5UdZ7qNcDyJ8wr,65.0,Pop
234,Replay 2017,3259,2017,One,Ed Sheeran,x (Wembley Edition),Pop,5TvFfDlVoUWZvfqrhTJzD7,60.0,Pop
235,Replay 2017,3277,2017,California King Bed,Rihanna,Loud (Deluxe),Pop,1NpDnkQO0yWxTtntrC0UNz,68.0,Pop
236,Replay 2017,2787,2017,Run to You,Pentatonix,"PTX, Vol. II - EP",Pop,1bukNCD9JEwNp235Ov0iZH,41.0,Pop
237,Replay 2017,2028,2017,In Love with Another Man,Jazmine Sullivan,Fearless,R&B/Soul,1xu91y5jf13yxAssdfsbPt,56.0,R&B/Soul
238,Replay 2017,3327,2017,This,Ed Sheeran,+ (Deluxe Version),Pop,0pJfsPQesJyCnR5XWZyvj9,50.0,Pop
239,Replay 2017,3333,2017,Little Bird (Bonus Track),Ed Sheeran,+ (Deluxe Version),Pop,,,Pop
240,Replay 2017,2315,2017,Yoga,Dream Wonderland,,,4sieuDUZuvGySckrUxCgN2,64.0,
241,Replay 2017,5105,2017,Friends,Chase Atlantic,,,7uDUb37h7Xdhza1eWMkoJv,85.0,
242,Replay 2017,3369,2017,Nina,Ed Sheeran,x (Wembley Edition),Pop,3GKSfF6c3Rv3a1knSjxnXa,54.0,Pop
243,Replay 2017,3323,2017,Drunk,Ed Sheeran,+ (Deluxe Version),Pop,4RnCPWlBsY7oUDdyruod7Y,62.0,Pop
244,Replay 2017,3325,2017,Small Bump,Ed Sheeran,+ (Deluxe Version),Pop,4z1O25cq9g2kuJemmUxc21,59.0,Pop
245,Replay 2017,3235,2017,Autumn Leaves (Bonus Track),Ed Sheeran,+ (Deluxe Version),Pop,,,Pop
246,Replay 2017,1690,2017,Bloodstream,Ed Sheeran,x (Wembley Edition),Pop,5v4sZRuvWDcisoOk1PFv6T,63.0,Pop
247,Replay 2017,1698,2017,Runaway,Ed Sheeran,x (Wembley Edition),Pop,2VmA7bm5ECiYZfw7x4Nzku,55.0,Pop
248,Replay 2017,3397,2017,Blow,Beyoncé,BEYONCÉ (Platinum Edition),Pop,6wwrYruEgWlowPDZMq5116,56.0,Pop
249,Replay 2017,3399,2017,Nunchucks,Doja Cat,Purrr! - EP,R&B/Soul,7mKLeYLFcRT9ZZXioSohIT,42.0,R&B/Soul
250,Replay 2017,3401,2017,So High,Doja Cat,Purrr! - EP,R&B/Soul,1yvSMyZn27M4wEslpSvB0D,73.0,R&B/Soul
251,Replay 2017,3335,2017,Sunburn (Bonus Track),Ed Sheeran,+ (Deluxe Version),Pop,,,Pop
252,Replay 2017,2611,2017,The Baddest Girl,Pentatonix,"PTX, Vol. 1 - EP",Pop,3tKAuyZm1eLdmkZekqezic,26.0,Pop
253,Replay 2017,3373,2017,Take It Back,Ed Sheeran,x (Wembley Edition),Pop,2dmOWlEHrP266Qgz6wnUrd,51.0,Pop
254,Replay 2017,3273,2017,Bitch Better Have My Money,Rihanna,Bitch Better Have My Money - Single,Pop,0NTMtAO2BV4tnGvw9EgBVq,76.0,Pop
255,Replay 2017,3023,2017,Rather Be,Pentatonix,"PTX, Vol. III - EP",Pop,4hxemf0pE0mSzubgsfRLWu,45.0,Pop
256,Replay 2017,1824,2017,Kiss Me,Ed Sheeran,+ (Deluxe Version),Pop,0Tel1fmuCxEFV6wBLXsEdk,68.0,Pop
257,Replay 2017,5099,2017,4AM,2 Chainz,,,1nX9KhK3Fff27SnrIor2Yb,61.0,
258,Replay 2017,5103,2017,Tightrope (feat. Big Boi),Janelle Monáe,,,1ljzHUgt2SU2ADkhfa9eBC,51.0,R&B/Soul
259,Replay 2017,1772,2017,Aha!,Pentatonix,"PTX, Vol. 1 - EP",Pop,5AspukpHyZuTciR17YPSrS,41.0,Pop
260,Replay 2017,5111,2017,Don't (Rick Ross Remix),Ed Sheeran,,,49WNdS1zw5NjaqMNEARcWO,41.0,Pop
261,Replay 2017,5093,2017,Say Something,A Great Big World,,,6Vc5wAMmXdKIAM7WUoEb7N,71.0,
262,Replay 2017,2761,2017,Love Again,Pentatonix,"PTX, Vol. II - EP",Pop,0vcyzDe6aoYTg6jM0U0T9r,43.0,Pop
263,Replay 2017,3347,2017,Go Gina,SZA,Ctrl,R&B/Soul,6Vmow8PuUaU7W1T2WWLZk2,63.0,R&B/Soul
264,Replay 2017,5097,2017,Starboy (feat. Daft Punk),The Weeknd,,,76yLBykniz0SSNv0jj17M2,56.0,
265,Replay 2017,3295,2017,Leaving California,Maroon 5,V (Deluxe),Pop,13YQutqrAhT5iX9HOctlu5,48.0,Pop
266,Replay 2017,5107,2017,Misbehavin',Aimee-Leigh,,,1SfXw4CSD8RllLWnVG6AaX,46.0,
267,Replay 2017,5085,2017,Wrong Side of a Love Song,Melanie Fiona,,,43cN7vrp1gSL1e0pdvVNxA,39.0,
268,Replay 2017,2779,2017,Save the World / Don't Worry Child,Pentatonix,"PTX, Vol. II - EP",Pop,1k69KJ5AsFwkbK5MOOxLHx,39.0,Pop
269,Replay 2017,5113,2017,La La La (feat. Sam Smith),Naughty Boy,,,52gvlDnre9craz9dKGObp8,77.0,
270,Replay 2017,5115,2017,Gone and Never Coming Back,Melanie Fiona,,,2VC0FEuziY41VF0i8bFp0o,32.0,
271,Replay 2017,2765,2017,Natural Disaster,Pentatonix,"PTX, Vol. II - EP",Pop,04nemEju86ULMJ1iy6EAsF,34.0,Pop
272,Replay 2017,3403,2017,Heathens,twenty one pilots,Suicide Squad: The Album,Alternative,6i0V12jOa3mr6uu4WYhUBr,83.0,Alternative
273,Replay 2017,3405,2017,Beautiful,Doja Cat,Purrr! - EP,R&B/Soul,58pnv11Ku9Gak5OeeREw9C,40.0,R&B/Soul
274,Replay 2017,5095,2017,S&M,Kendrick Lamar,,,0nj9Bq5sHDiTxSHunhgkFb,91.0,
275,Replay 2018,1608,2018,Borders,St. Beauty,Running to the Sun,R&B/Soul,1qT4WewpOkOepuHixR5KzA,25.0,R&B/Soul
276,Replay 2018,2327,2018,Caught,Rodney Atkins,,,4aGG4VOWGv9RwlYQNsBrkE,69.0,
277,Replay 2018,1736,2018,Lucid Dreams,St. Beauty,Running to the Sun,R&B/Soul,0VhpCosvpLVUT6RItmD0v6,26.0,R&B/Soul
278,Replay 2018,2867,2018,Smile,Morgan Wallen,,,3MJ6lFNV12FSHAOzTzkwxz,83.0,
279,Replay 2018,1740,2018,Stone Mountain,St. Beauty,Running to the Sun,R&B/Soul,4Fg2ugWkxIkXuMAhRsRU7y,15.0,R&B/Soul
280,Replay 2018,2865,2018,Not Discuss It,St. Beauty,,,1GAHIJ5a6AFbIW5yjrGdAz,17.0,R&B/Soul
281,Replay 2018,3361,2018,Rise Up,Andra Day,Cheers to the Fall,R&B/Soul,0tV8pOpiNsKqUys0ilUcXz,75.0,R&B/Soul
282,Replay 2018,1720,2018,"Read All About It, Pt. III",Emeli Sandé,Our Version of Events (Deluxe Edition),Pop,1U0bhf79qQt8ozR25aXMtH,50.0,Pop
283,Replay 2018,1382,2018,Red Flags,Josh Ross,,,2Dx0UA8OwEqrZbQIs0yKXv,64.0,
284,Replay 2018,10477,2018,It's Code,2 Chainz,,,36vjs14mqcOXQEZrFnK0Kp,42.0,
285,Replay 2018,1344,2018,Cheers To the Fall,Andra Day,,,3jUDmvxw0ZyGAUmyqRikMj,31.0,R&B/Soul
286,Replay 2018,2943,2018,No Police,The Police,,,1oYYd2gnWZYrt89EBXdFiO,78.0,
287,Replay 2018,3401,2018,So High,Doja Cat,Purrr! - EP,R&B/Soul,1yvSMyZn27M4wEslpSvB0D,73.0,R&B/Soul
288,Replay 2018,3357,2018,Normal Girl,SZA,Ctrl,R&B/Soul,5fQBa4wkmq28xpSLOQ202K,77.0,R&B/Soul
289,Replay 2018,10483,2018,Tyrant (feat. Jorja Smith),Kali Uchis,,,4FZOSDwALdWxcGcRbwXWJ8,62.0,
290,Replay 2018,3399,2018,Nunchucks,Doja Cat,Purrr! - EP,R&B/Soul,7mKLeYLFcRT9ZZXioSohIT,42.0,R&B/Soul
291,Replay 2018,10473,2018,Summertime Magic,Childish Gambino,,,4j3GWI86JvSaF0BLdmgcfF,61.0,Hip-Hop/Rap
292,Replay 2018,10475,2018,Control,Teddy Swims,,,17phhZDn6oGtzMe56NuWvj,91.0,
293,Replay 2018,2919,2018,Quicksand,Morray,,,4iCZ6Cr76For1TuHUQ90r8,58.0,
294,Replay 2018,10461,2018,Tell Me You Love Me,Demi Lovato,,,21RCuMVSlblTmyYm2DnPCR,61.0,
295,Replay 2018,10471,2018,Can't Live Without Your Love,Nelson,,,3JjY2L2bqql54j1SjnjQ23,50.0,
296,Replay 2018,10401,2018,Indica Badu (feat. Wiz Khalifa),,,,,,
297,Replay 2018,2903,2018,"Palace / Curse (feat. Steve Lacy & Tyler, The Creator)",The Internet,,,300DUx4tdtCdGEUXR032jA,64.0,R&B/Soul
298,Replay 2018,4883,2018,Where Did I Go?,Jorja Smith,Lost & Found,R&B/Soul,79OKfIXCPbNhZa3h1ZREag,55.0,R&B/Soul
299,Replay 2018,10467,2018,Heart Don't Stand a Chance,Anderson .Paak,,,25GlFJq5QNAXyVgJvCZ4Mf,57.0,
300,Replay 2018,10409,2018,Ryd,Steve Lacy,,,5Ha9IheRrkDyr7ZdhaRsWb,68.0,R&B/Soul
301,Replay 2018,10451,2018,All The Stars,Kendrick Lamar,,,3GCdLUSnKSMJhs4Tj6CV3s,95.0,
302,Replay 2018,10427,2018,"Blessings (feat. Ty Dolla $ign, Raury, BJ The Chicago Kid & Anderson .Paak)",Chance the Rapper,,,5IdQEHgtmj9th3OkfQKhf8,50.0,Hip-Hop/Rap
303,Replay 2018,4875,2018,Fantasy,Alina Baraz & Galimatias,Urban Flora,Electronic,20YOJ81BuTLbLcBCYnFmQ1,55.0,Electronic
304,Replay 2018,10413,2018,Kickin’ Back,Mila J,,,5xjTqz4aYQeBnFhwMPmfx9,66.0,
305,Replay 2018,4059,2018,Smile (Living My Best Life) [feat. Snoop Dogg & Ball Greezy],Lil Duval,Smile (Living My Best Life) [feat. Snoop Dogg & Ball Greezy] - Single,Hip-Hop/Rap,17jeLyQcEUmKv3MXeEo79k,48.0,Hip-Hop/Rap
306,Replay 2018,10479,2018,Feels Like Summer,Childish Gambino,,,7p4vHnYXkxlzvfePJVpcTr,72.0,Hip-Hop/Rap
307,Replay 2018,1450,2018,Am I Wrong (feat. ScHoolboy Q),Anderson .Paak,,,1UjyF6okUHhnVxaLV8ojsA,54.0,
308,Replay 2018,10439,2018,My Kind of Love,Emeli Sandé,,,586T4NFpg34rcFG3q7y2I3,37.0,Pop
309,Replay 2018,10435,2018,Django Jane,Janelle Monáe,,,56RfNBJGUgL1ZFCB1KEJrQ,43.0,R&B/Soul
310,Replay 2018,10429,2018,Make Me Feel,Cobra Starship,,,16Of7eeW44kt0a1M0nitHM,73.0,
311,Replay 2018,10463,2018,James Joint,Rihanna,,,6K4Co1NQyOnoFEJMkZHkln,63.0,Pop
312,Replay 2018,10415,2018,Closer (Ode 2 U),Ravyn Lenae,,,39xVzbZDVYROIkoI0wJU7k,43.0,
313,Replay 2018,10449,2018,Blow,Gracie Abrams,,,0MIJFuEJpmgSjNjkbq29TQ,74.0,
314,Replay 2018,10403,2018,no tears left to cry,Ariana Grande,,,2qT1uLXPVPzGgFOx4jtEuo,78.0,Pop
315,Replay 2018,10465,2018,Disco Yes,Tom Misch,,,2fvdQ1Uq04qE4RLN5zKBXS,60.0,
316,Replay 2018,10411,2018,Dark Red,Steve Lacy,,,3EaJDYHA0KnX88JvDhL9oa,86.0,R&B/Soul
317,Replay 2018,3163,2018,Catching Villains,Chizzy Stephens,Catching Villains - Single,R&B/Soul,4S9igu2YyLNTUdP6UTlGb0,54.0,R&B/Soul
318,Replay 2018,1730,2018,Medicine,Queen Naija,Medicine - Single,R&B/Soul,4lFfMRH0YH4pW5gczTDbNC,67.0,R&B/Soul
319,Replay 2018,1822,2018,PrimeTime (feat. Miguel),Janelle Monáe,The Electric Lady,R&B/Soul,5dzV75f9qVXVvdXLTqIG4L,48.0,R&B/Soul
320,Replay 2018,3157,2018,I Got The Juice (feat. Pharrell Williams),Janelle Monáe,Dirty Computer,R&B/Soul,5Yfq9uugLFchtFymQQWxgt,39.0,R&B/Soul
321,Replay 2018,10481,2018,Dirty Computer (feat. Brian Wilson),Janelle Monáe,,,7nJZ9LplJ3ZAyhQyJCJk0K,39.0,R&B/Soul
322,Replay 2018,10421,2018,Tightrope (feat. Big Boi),Janelle Monáe,,,1ljzHUgt2SU2ADkhfa9eBC,51.0,R&B/Soul
323,Replay 2018,10423,2018,Don’t Judge Me,Chris Brown,,,0NG5gJzPHjYeQmqcmqfopN,66.0,
324,Replay 2018,10437,2018,Screwed (feat. Zoë Kravitz),Janelle Monáe,,,1Z2MfAx1nJ09NzGjodnvRW,43.0,R&B/Soul
325,Replay 2018,10455,2018,I Got the Boy,"Tyler, The Creator",,,430qNtapCS3Ue1yoSql1oV,62.0,
326,Replay 2018,10431,2018,Pynk (feat. Grimes),Janelle Monáe,,,5OpiyfqaQLdtwHd3SfembH,48.0,R&B/Soul
327,Replay 2018,10425,2018,I Like That,Rascal Flatts,,,5S5rw0WLVCAux5B5bWCehK,68.0,Country
328,Replay 2018,1860,2018,Eraser,Ed Sheeran,÷ (Deluxe),Pop,7oolFzHipTMg2nL7shhdz2,57.0,Pop
329,Replay 2018,10445,2018,Whiskey (feat. A$AP Rocky),Maroon 5,,,6zEOfBb85G0Vaau5skdAUG,40.0,Pop
330,Replay 2018,3311,2018,What Do I Know?,Ed Sheeran,÷ (Deluxe),Pop,2pJZ1v8HezrAoZ0Fhzby92,65.0,Pop
331,Replay 2018,3309,2018,Hearts Don't Break Around Here,Ed Sheeran,÷ (Deluxe),Pop,2dfHh7ECGxfNqZTQno09Vk,60.0,Pop
332,Replay 2018,1662,2018,Perfect,Ed Sheeran,÷ (Deluxe),Pop,0tgVpDi06FyKpA1z0VMD4v,89.0,Pop
333,Replay 2018,10453,2018,Closure,Chevelle,,,3wwoB2eYeGnuOSuIYqXEdl,59.0,
334,Replay 2018,10417,2018,Take A Byte,Janelle Monáe,,,5Fw17rh1qEC6YoT32BijNI,37.0,R&B/Soul
335,Replay 2018,3317,2018,Bibia Be Ye Ye,Ed Sheeran,÷ (Deluxe),Pop,6SznMYPQJHzr3IwsAHLId2,59.0,Pop
336,Replay 2018,1894,2018,Dive,Ed Sheeran,÷ (Deluxe),Pop,51ChrwmUPDJvedPQnIU8Ls,73.0,Pop
337,Replay 2018,1754,2018,How Would You Feel (Paean),Ed Sheeran,÷ (Deluxe),Pop,6PJ8FF6UR8FZXfEvpHkIVN,65.0,Pop
338,Replay 2018,3303,2018,Save Myself,Ed Sheeran,÷ (Deluxe),Pop,6TIU9Ehmi6dMzZK73Ym4yj,59.0,Pop
339,Replay 2018,3307,2018,Galway Girl,Ed Sheeran,÷ (Deluxe),Pop,0afhq8XCExXpqazXczTSve,81.0,Pop
340,Replay 2018,1742,2018,New Man,Ed Sheeran,÷ (Deluxe),Pop,5HDPtsnyb3maFmPL8LLUTG,61.0,Pop
341,Replay 2018,10447,2018,Wait,Future,,,59nOXPmaKlBfGMDeOVGrIK,84.0,
342,Replay 2018,1684,2018,Don't,Ed Sheeran,x (Wembley Edition),Pop,1huvTbEYtgltjQRXzrNKGi,71.0,Pop
343,Replay 2018,3141,2018,Happier,Ed Sheeran,÷ (Deluxe),Pop,2RttW7RAu5nOAfq6YFvApB,76.0,Pop
344,Replay 2018,4871,2018,Best Life (feat. Chance the Rapper),Cardi B,Invasion of Privacy,Hip-Hop/Rap,00B7TZ0Xawar6NZ00JFomN,50.0,Hip-Hop/Rap
345,Replay 2018,10459,2018,End Game (feat. Ed Sheeran & Future),Taylor Swift,,,2x0WlnmfG39ZuDmstl9xfX,74.0,Country
346,Replay 2018,10419,2018,"Crazy, Classic, Life",Janelle Monáe,,,06EAtSDu3KSoi4fbA3ZjoB,40.0,R&B/Soul
347,Replay 2018,4165,2018,What the World Needs Now Is Love,Andra Day,What the World Needs Now Is Love - Single,Pop,1E2qfOtDbT1NPaGQnI3L12,42.0,Pop
348,Replay 2018,10443,2018,River,Leon Bridges,,,3hhbDnFUb2bicI2df6VurK,77.0,
349,Replay 2018,3585,2018,Beneath Your Beautiful (feat. Emeli Sandé),Labrinth,Our Version of Events (Deluxe Edition),Pop,2EcsgXlxz99UMDSPg5T8RF,67.0,Pop
350,Replay 2018,3265,2018,Sing,Ed Sheeran,x (Wembley Edition),Pop,6K8qKeWo5MsFED7wCR6Kop,68.0,Pop
351,Replay 2018,2271,2018,Q.U.E.E.N. (feat. Erykah Badu),Janelle Monáe,,,3HW030T8eqPs8wpsgZqCGM,46.0,R&B/Soul
352,Replay 2018,1350,2018,Get Up 10,Cardi B,,,7p2ewixAShLpjDZrnzZK7c,55.0,Hip-Hop/Rap
353,Replay 2018,10469,2018,High,Creed,,,1ZozJfi8u9cO2Ob8KwiwNT,80.0,
354,Replay 2018,3091,2018,The A Team,Ed Sheeran,+ (Deluxe Version),Singer/Songwriter,1VdZ0vKfR5jneCmWIUAMxK,73.0,Singer/Songwriter
355,Replay 2018,3319,2018,Nancy Mulligan,Ed Sheeran,÷ (Deluxe),Pop,35QZaWQRkmnAVqBF1TLCxQ,68.0,Pop
356,Replay 2018,3305,2018,Castle on the Hill,Ed Sheeran,÷ (Deluxe),Pop,6PCUP3dWmTjcTtXY02oFdT,80.0,Pop
357,Replay 2018,3075,2018,I See Fire,Ed Sheeran,x (Deluxe Edition),Singer/Songwriter,1f1wT6Q7Buxb3OD0BqMW8O,70.0,Singer/Songwriter
358,Replay 2018,3313,2018,Supermarket Flowers,Ed Sheeran,÷ (Deluxe),Pop,4VuS959DSpr82t3qBqCrWG,74.0,Pop
359,Replay 2018,1652,2018,Shape of You,Ed Sheeran,÷ (Deluxe),Pop,7qiZfU4dY1lWllzX7mPBI3,89.0,Pop
360,Replay 2018,3911,2018,Givin Em What They Love (feat. Prince),Janelle Monáe,The Electric Lady,R&B/Soul,,,R&B/Soul
361,Replay 2018,10407,2018,So Afraid,XXXTENTACION,,,57nOpVSc3j9o03Cr928ZM4,65.0,
362,Replay 2018,1864,2018,Mad,Ne-Yo,Year of the Gentleman (Deluxe Edition),R&B/Soul,6Hn9Uc1mMNfqChXU3txNke,73.0,R&B/Soul
363,Replay 2018,1688,2018,Photograph,Ed Sheeran,x (Wembley Edition),Pop,6fxVffaTuwjgEk5h9QyRjy,71.0,Pop
364,Replay 2018,3261,2018,I'm a Mess,Ed Sheeran,x (Wembley Edition),Pop,0xCA70t1ZA4fa9UOE0lIJm,60.0,Pop
365,Replay 2018,3375,2018,Even My Dad Does Sometimes,Ed Sheeran,x (Wembley Edition),Pop,0N5zjRnf8AreOm95iSBXF4,52.0,Pop
366,Replay 2018,2120,2018,Thru Your Phone,Cardi B,,,74cVJfmK18rhWnscIpGXjt,72.0,Hip-Hop/Rap
367,Replay 2018,10405,2018,Americans,David Bowie,,,7uPmQttafLiJyju14JREY4,61.0,
368,Replay 2018,10433,2018,Cold War,Calmly,,,57flcTcVRtzuJjVZn18dGu,71.0,
369,Replay 2018,10441,2018,Tints (feat. Kendrick Lamar),Anderson .Paak,,,7c3SbTuufigBWURcICnAWy,57.0,
370,Replay 2018,3133,2018,Next To Me,Emeli Sandé,Our Version of Events (Deluxe Edition),Pop,1Xsxp1SEOxuMzjrFZhtw8u,53.0,Pop
371,Replay 2018,10457,2018,Perfect Duet (with Beyoncé),Ed Sheeran,,,1bhUWB0zJMIKr9yVPrkEuI,69.0,Pop
372,Replay 2018,1704,2018,Thinking Out Loud,Ed Sheeran,x (Wembley Edition),Pop,1Slwb6dOYkBlWal1PGtnNg,68.0,Pop
373,Replay 2018,5105,2018,Friends,Chase Atlantic,,,7uDUb37h7Xdhza1eWMkoJv,85.0,
374,Replay 2018,5109,2018,Everything You Are,The Stylistics,,,0TFBANCgctg5hAt9ez2V2g,60.0,
375,Replay 2019,3441,2019,"Thunderclouds (feat. Sia, Diplo & Labrinth)",LSD,"LABRINTH, SIA & DIPLO PRESENT... LSD",Pop,4lJNen4SMTIJMahALc3DcB,69.0,Pop
376,Replay 2019,3439,2019,"Audio (feat. Sia, Diplo & Labrinth)",LSD,"LABRINTH, SIA & DIPLO PRESENT... LSD",Pop,100eDEmpWV5YGVCqHI0leU,62.0,Pop
377,Replay 2019,3445,2019,"No New Friends (feat. Sia, Diplo & Labrinth)",LSD,"LABRINTH, SIA & DIPLO PRESENT... LSD",Pop,6Dma0t0hOe6Bd6u5YRKF3n,56.0,Pop
378,Replay 2019,3437,2019,"Genius (feat. Sia, Diplo & Labrinth)",LSD,"LABRINTH, SIA & DIPLO PRESENT... LSD",Pop,4xigPf2sigSPmuFH3qCelB,75.0,Pop
