,playlist,track_id,year,Title,Artist,Album,Genre,spotify_id,popularity,Genre2
44,Replay 2015,1668,2015,Grade 8,Ed Sheeran,+ (Deluxe Version),Pop,0obzwoGjXdORtAwYWZ9s53,50.0,Pop
45,Replay 2015,4141,2015,One More Time,Daft Punk,Discovery,Dance,0DiWol3AO6WpXZgp0goxAV,80.0,Dance
46,Replay 2015,3377,2015,I See Fire,Ed Sheeran,The Hobbit: The Desolation of Smaug (Original Motion Picture Soundtrack),Soundtrack,1f1wT6Q7Buxb3OD0BqMW8O,70.0,Soundtrack
47,Replay 2015,2146,2015,Runaway,Kanye West,,,3DK6m7It6Pw857FcQftMds,83.0,
48,Replay 2015,2184,2015,Wild Things,Luke Combs,,,0eBFgRxyVSeuT4iyrbukdn,84.0,
49,Replay 2015,4055,2015,Here (2:00 AM Version),Alessia Cara,Know-It-All (Deluxe),Pop,5O8Tg0laVqXLT9tvcdQyL2,38.0,Pop
50,Replay 2015,1586,2015,Wildest Dreams,Taylor Swift,,,1K39ty6o1sHwwlZwO6a7wK,75.0,Country
51,Replay 2015,1490,2015,Locked Away (feat. Adam Levine),R. City,,,7x5xYW5W42OGPAdHUyyguy,82.0,
52,Replay 2015,1562,2015,Love Story,Taylor Swift,,,3CeCwYWvdfXbZLXFhBrbnf,78.0,Country
53,Replay 2015,1368,2015,Forever & Always,Randy Travis,,,1ipcb9qXpSHWhSUvdxJhsx,77.0,
54,Replay 2015,2100,2015,Tenerife Sea,Ed Sheeran,,,6vSwxzO2Qf4BinHSXRwZJe,54.0,Pop
55,Replay 2015,2110,2015,One,The Weeknd,,,7CyPwkp0oE8Ro9Dd5CUDjW,92.0,
56,Replay 2015,2160,2015,Shirtsleeves,Ed Sheeran,,,7awwmuGslmuyhnlpFipDqk,50.0,Pop
57,Replay 2015,1582,2015,Nina,La Santa Grifa,,,2pPjtn3Pd3nTueJXeizwGk,72.0,
58,Replay 2015,3079,2015,I'm a Mess,Ed Sheeran,x (Deluxe Edition),Singer/Songwriter,0xCA70t1ZA4fa9UOE0lIJm,60.0,Singer/Songwriter
59,Replay 2015,3067,2015,Give Me Love,Ed Sheeran,+ (Deluxe Version),Singer/Songwriter,0SuG9kyzGRpDqrCWtgD6Lq,70.0,Singer/Songwriter
60,Replay 2015,3889,2015,Something in the Water,Carrie Underwood,Greatest Hits: Decade #1,Country,10RQKVSr4rS0coExTmi4dF,54.0,Country
61,Replay 2015,2102,2015,Bloodstream,Ed Sheeran,,,5v4sZRuvWDcisoOk1PFv6T,63.0,Pop
62,Replay 2015,2126,2015,Even My Dad Does Sometimes,Ed Sheeran,,,0N5zjRnf8AreOm95iSBXF4,52.0,Pop
63,Replay 2015,2148,2015,The Man,Taylor Swift,,,3RauEVgRgj1IuWdJ9fDs70,79.0,Country
64,Replay 2015,1584,2015,Sing,Jordan Davis,,,4LiMQ6G9n84rDUBs9wtwz6,69.0,
65,Replay 2015,2192,2015,Stone (feat. Sebastian Kole),,,,,,
66,Replay 2015,3241,2015,Overdose,Alessia Cara,Know-It-All (Deluxe),Pop,1ze9WxnqqYD81CjLOkHIo4,41.0,Pop
67,Replay 2015,3081,2015,I'm Yours,Alessia Cara,Four Pink Walls - EP,Pop,0kfysKpwCZLiK3HR1n80vg,48.0,Pop
68,Replay 2015,1596,2015,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,Nine Track Mind,Pop,6ukMqDxnOPOgoHdak7Kyp3,66.0,Pop
69,Replay 2015,3203,2015,Viva la Vida,Coldplay,Viva la Vida (Prospekt's March Edition),Alternative,1mea3bSkSGXuIRvnydlB5b,88.0,Alternative
70,Replay 2015,2188,2015,One More Night,Maroon 5,,,4XNrMwGx1SqP01sqkGTDmo,74.0,Pop
71,Replay 2015,3143,2015,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things (Bonus Track Version),Pop,3S0OXQeoh0w6AY8WQVckRW,80.0,Pop
72,Replay 2015,2875,2015,I'm Not The Only One,Sam Smith,,,7795WJLVKJoAyVoOtCWqXN,84.0,
73,Replay 2015,2871,2015,Not In That Way,Sam Smith,,,2a4iE4k1IkIswThuJ3ROsw,54.0,
74,Replay 2015,2166,2015,Take It Back,Tauren Wells,,,4AjyX21TX61oa8AFaKZmxc,65.0,
75,Replay 2016,3237,2016,Castle,Halsey,BADLANDS (Deluxe Edition),Alternative,16w8ZGVSjI4TlTLV8VimBY,66.0,Alternative
76,Replay 2016,3091,2016,The A Team,Ed Sheeran,+ (Deluxe Version),Singer/Songwriter,1VdZ0vKfR5jneCmWIUAMxK,73.0,Singer/Songwriter
77,Replay 2016,3281,2016,Good for You (feat. A$AP Rocky),Selena Gomez,Good for You (feat. A$AP Rocky) - Single,Pop,,,Pop
78,Replay 2016,1346,2016,Alone Together,Fall Out Boy,,,5MsZIaCYY6Tsdph0LiB0hE,60.0,Alternative
79,Replay 2016,3193,2016,Classic Man (feat. Roman GianArthur),Jidenna,Wondaland Presents: The Eephus - EP,R&B/Soul,3G7XYAwtxtoGK7fAm4IlD9,58.0,R&B/Soul
80,Replay 2016,3197,2016,Classic Man (feat. Kendrick Lamar) [Remix],Jidenna,Wondaland Presents: The Eephus - EP,R&B/Soul,530J9GupahE2O4a1iVkQxB,49.0,R&B/Soul
81,Replay 2016,3203,2016,Viva la Vida,Coldplay,Viva la Vida (Prospekt's March Edition),Alternative,1mea3bSkSGXuIRvnydlB5b,88.0,Alternative
82,Replay 2016,2245,2016,All You Had To Do Was Stay,Taylor Swift,,,6GXgd1BPD9bUpqw5AntGV5,68.0,Country
83,Replay 2016,2228,2016,Blank Space,Taylor Swift,,,1p80LdxRV74UKvL8gnD7ky,72.0,Country
84,Replay 2016,1684,2016,Don't,Ed Sheeran,x (Wembley Edition),Pop,1huvTbEYtgltjQRXzrNKGi,71.0,Pop
85,Replay 2016,1690,2016,Bloodstream,Ed Sheeran,x (Wembley Edition),Pop,5v4sZRuvWDcisoOk1PFv6T,63.0,Pop
86,Replay 2016,1682,2016,U.N.I.,Ed Sheeran,+ (Deluxe Version),Pop,5Ukzlujip1Slqka5OY82YS,52.0,Pop
87,Replay 2016,3067,2016,Give Me Love,Ed Sheeran,+ (Deluxe Version),Singer/Songwriter,0SuG9kyzGRpDqrCWtgD6Lq,70.0,Singer/Songwriter
88,Replay 2016,3297,2016,Begin Again,Taylor Swift,Red,Country,05GsNucq8Bngd9fnd4fRa0,69.0,Country
89,Replay 2016,1828,2016,Here (Live off the Floor (Bonus Track)),Alessia Cara,This Summer: Live off the Floor,Pop,7AsODjpT6JoDYa04o1d1F7,25.0,Pop
90,Replay 2016,1692,2016,Wake Me Up,Ed Sheeran,+ (Deluxe Version),Pop,0ygAYQQy7bfDN6gH640bbl,51.0,Pop
91,Replay 2016,2611,2016,The Baddest Girl,Pentatonix,"PTX, Vol. 1 - EP",Pop,3tKAuyZm1eLdmkZekqezic,26.0,Pop
92,Replay 2016,2765,2016,Natural Disaster,Pentatonix,"PTX, Vol. II - EP",Pop,04nemEju86ULMJ1iy6EAsF,34.0,Pop
93,Replay 2016,1668,2016,Grade 8,Ed Sheeran,+ (Deluxe Version),Pop,0obzwoGjXdORtAwYWZ9s53,50.0,Pop
94,Replay 2016,3227,2016,Gold Rush (Bonus Track),Ed Sheeran,+ (Deluxe Version),Pop,,,Pop
95,Replay 2016,1704,2016,Thinking Out Loud,Ed Sheeran,x (Wembley Edition),Pop,1Slwb6dOYkBlWal1PGtnNg,68.0,Pop
96,Replay 2016,3285,2016,Maps,Maroon 5,V (Deluxe),Pop,4gbVRS8gloEluzf0GzDOFc,84.0,Pop
97,Replay 2016,3267,2016,IV. Sweatpants (feat. Jason Martin),Childish Gambino,Because the Internet,Hip-Hop/Rap,,,Hip-Hop/Rap
98,Replay 2016,3217,2016,24K Magic,Bruno Mars,24K Magic,Pop,6b8Be6ljOzmkOmFslEb23P,84.0,Pop
99,Replay 2016,2291,2016,"Dance, Dance",Fall Out Boy,,,0a7BloCiNzLDD9qSQHh5m7,78.0,Alternative
100,Replay 2016,3209,2016,Crash and Burn,Thomas Rhett,Tangled Up,Country,2Fk0WwAqTBesLtKg97nojy,65.0,Country
101,Replay 2016,3299,2016,Sugar,Maroon 5,V (Deluxe),Pop,2iuZJX9X9P0GKaE93xcPjk,81.0,Pop
102,Replay 2016,2707,2016,Natalie,Bruno Mars,Unorthodox Jukebox,Pop,0inMKhbKWOTDA9UBUAKoU6,61.0,Pop
103,Replay 2016,3277,2016,California King Bed,Rihanna,Loud (Deluxe),Pop,1NpDnkQO0yWxTtntrC0UNz,68.0,Pop
104,Replay 2016,3205,2016,It's Time,Imagine Dragons,Night Visions,Alternative,6BtmXhTJMM9sBTHeYYASGz,67.0,Alternative
105,Replay 2016,3189,2016,Hit the Lights,Selena Gomez & The Scene,When The Sun Goes Down,Pop,6ciLLh4TkPYDUfNxn2Z0KO,59.0,Pop
106,Replay 2016,2995,2016,Bitch Bad,Lupe Fiasco,"Food & Liquor II: The Great American Rap Album, Pt. 1",Hip-Hop/Rap,4CClW2SptqxoGjSxBMQt5A,30.0,Hip-Hop/Rap
107,Replay 2016,3213,2016,Daylight,Maroon 5,Overexposed (Deluxe Version),Pop,6TwfdLbaxTKzQi3AgsZNzx,64.0,Pop
108,Replay 2016,2122,2016,Bad Blood,Taylor Swift,,,6qAcApH8obo8eqatCKUHd9,73.0,Country
109,Replay 2016,1518,2016,Bad Blood (feat. Kendrick Lamar),Taylor Swift,,,6qAcApH8obo8eqatCKUHd9,73.0,Country
110,Replay 2016,3223,2016,Dance (A$$),Big Sean,Finally Famous (Super Deluxe Edition),Hip-Hop/Rap,3ZAMtgYJFoHwJjFkhkXqKr,61.0,Hip-Hop/Rap
111,Replay 2016,3195,2016,Royals,Pentatonix,PTX,Pop,18hj0s8eHtGt30whr2PGXB,44.0,Pop
112,Replay 2016,1810,2016,Lego House,Ed Sheeran,+ (Deluxe Version),Pop,5ubHAQtKuFfiG4FXfLP804,72.0,Pop
113,Replay 2016,1772,2016,Aha!,Pentatonix,"PTX, Vol. 1 - EP",Pop,5AspukpHyZuTciR17YPSrS,41.0,Pop
114,Replay 2016,3269,2016,New Americana,Halsey,BADLANDS (Deluxe Edition),Alternative,6Xs7OKt6i0Ddq8B4M5Dgvr,61.0,Alternative
115,Replay 2016,3143,2016,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things (Bonus Track Version),Pop,3S0OXQeoh0w6AY8WQVckRW,80.0,Pop
116,Replay 2016,2315,2016,Yoga,Dream Wonderland,,,4sieuDUZuvGySckrUxCgN2,64.0,
117,Replay 2016,2543,2016,Battle Scars,Lupe Fiasco & Guy Sebastian,"Food & Liquor II: The Great American Rap Album, Pt. 1",Hip-Hop/Rap,1hWYT0w2R0J19rlVkiez7X,64.0,Hip-Hop/Rap
118,Replay 2016,3261,2016,I'm a Mess,Ed Sheeran,x (Wembley Edition),Pop,0xCA70t1ZA4fa9UOE0lIJm,60.0,Pop
119,Replay 2016,1688,2016,Photograph,Ed Sheeran,x (Wembley Edition),Pop,6fxVffaTuwjgEk5h9QyRjy,71.0,Pop
120,Replay 2016,3253,2016,Drink You Away,Justin Timberlake,The 20/20 Experience - 2 of 2 (Deluxe),Pop,4pEaGoTSSU7YKu4hqor9Na,51.0,Pop
121,Replay 2016,3199,2016,Harder Better Faster Stronger,Daft Punk,Discovery,Dance,5W3cjX2J3tjhG8zb6u0qHn,73.0,Dance
122,Replay 2016,3211,2016,Die a Happy Man,Thomas Rhett,Tangled Up,Country,5kNe7PE09d6Kvw5pAsx23n,75.0,Country
123,Replay 2016,3215,2016,Demons,Imagine Dragons,Night Visions,Alternative,3LlAyCYU26dvFZBDUIMb7a,74.0,Alternative
124,Replay 2016,3377,2016,I See Fire,Ed Sheeran,The Hobbit: The Desolation of Smaug (Original Motion Picture Soundtrack),Soundtrack,1f1wT6Q7Buxb3OD0BqMW8O,70.0,Soundtrack
125,Replay 2016,1666,2016,Afire Love,Ed Sheeran,x (Wembley Edition),Pop,12B0Twa9kRz45Xw2PgXHJm,57.0,Pop
126,Replay 2016,3265,2016,Sing,Ed Sheeran,x (Wembley Edition),Pop,6K8qKeWo5MsFED7wCR6Kop,68.0,Pop
127,Replay 2016,3249,2016,II. Worldstar,Childish Gambino,Because the Internet,Hip-Hop/Rap,4oIHQ7BXApxvJ42yX0d5Qj,52.0,Hip-Hop/Rap
128,Replay 2016,3201,2016,Animals,Maroon 5,V (Deluxe),Pop,2bL2gyO6kBdLkNSkxXNh6x,82.0,Pop
129,Replay 2016,3293,2016,Makes Me Wonder,Maroon 5,It Won't Be Soon Before Long,Pop,1lHXlGlve5Zx8tXLhyjDwM,64.0,Pop
130,Replay 2016,3219,2016,Picture to Burn,Taylor Swift,Taylor Swift (Bonus Track Version),Country,32mVHdy0bi1XKgr0ajsBlG,65.0,Country
131,Replay 2016,1824,2016,Kiss Me,Ed Sheeran,+ (Deluxe Version),Pop,0Tel1fmuCxEFV6wBLXsEdk,68.0,Pop
132,Replay 2016,3279,2016,We Are Never Ever Getting Back Together,Taylor Swift,Red,Country,5YqltLsjdqFtvqE7Nrysvs,74.0,Country
133,Replay 2016,3283,2016,If I Die Young,The Band Perry,The Band Perry,Country,4u26EevCNXMhlvE1xFBJwX,67.0,Country
134,Replay 2016,3295,2016,Leaving California,Maroon 5,V (Deluxe),Pop,13YQutqrAhT5iX9HOctlu5,48.0,Pop
135,Replay 2016,1448,2016,Bang Bang,AJR,,,4SQLQfcR0vhyIN4uPBlc0d,72.0,
136,Replay 2016,2118,2016,I Wish You Would,Mackenzie Carpenter,,,3wdvFJv9nXCmnBNzP2pMTo,68.0,
137,Replay 2016,3229,2016,Let It Go,James Bay,Chaos and the Calm (Deluxe Edition),Alternative,2xsAm4w9P3kSF1DophKAiF,67.0,Alternative
138,Replay 2016,3019,2016,La La Latch,Pentatonix,"PTX, Vol. III - EP",Pop,6fOqEAXCwboCO4BdzbZG1K,42.0,Pop
139,Replay 2016,3243,2016,Radioactive,Imagine Dragons,Night Visions,Alternative,4G8gkOterJn0Ywt6uhqbhp,73.0,Alternative
140,Replay 2016,3287,2016,Mean,Taylor Swift,Speak Now,Country,30Y4CV7A6YqtQtTTo7Ue4j,68.0,Country
141,Replay 2016,3247,2016,Love Yourself,Justin Bieber,Purpose (Deluxe),Pop,50kpGaPAhYJ3sGmk6vplg0,85.0,Pop
142,Replay 2016,2785,2016,Daft Punk,Pentatonix,"PTX, Vol. II - EP",Pop,6ukvsBzq4d1vBsAUmz7ZVt,55.0,Pop
143,Replay 2016,3275,2016,Touch It / Technologic (Live),Daft Punk,Alive 2007,Electronic,,,Electronic
