,apple_id,spotify_id,artist,title,popularity
67,3143,3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,I'm Yours,80
68,2875,7795WJLVKJoAyVoOtCWqXN,Sam Smith,I'm Not The Only One,84
69,2871,2a4iE4k1IkIswThuJ3ROsw,Sam Smith,Not In That Way,54
70,2166,4AjyX21TX61oa8AFaKZmxc,Tauren Wells,Take It All Back,65
71,3237,16w8ZGVSjI4TlTLV8VimBY,Halsey,Castle,66
72,1346,5MsZIaCYY6Tsdph0LiB0hE,Fall Out Boy,Alone Together,60
73,3193,3G7XYAwtxtoGK7fAm4IlD9,Jidenna,Classic Man (feat. Roman GianArthur),58
74,3197,530J9GupahE2O4a1iVkQxB,Jidenna,Classic Man (feat. Kendrick Lamar) - Remix,49
75,2245,6GXgd1BPD9bUpqw5AntGV5,Taylor Swift,All You Had To Do Was Stay (Taylor's Version),68
76,2228,1p80LdxRV74UKvL8gnD7ky,Taylor Swift,Blank Space,72
77,1684,1huvTbEYtgltjQRXzrNKGi,Ed Sheeran,Don't,71
78,1690,5v4sZRuvWDcisoOk1PFv6T,Ed Sheeran,Bloodstream,63
79,2611,3tKAuyZm1eLdmkZekqezic,Pentatonix,The Baddest Girl,26
80,2765,04nemEju86ULMJ1iy6EAsF,Pentatonix,Natural Disaster,34
81,1704,1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,Thinking out Loud,68
82,3285,4gbVRS8gloEluzf0GzDOFc,Maroon 5,Maps,84
83,3217,6b8Be6ljOzmkOmFslEb23P,Bruno Mars,24K Magic,84
84,2291,0a7BloCiNzLDD9qSQHh5m7,Fall Out Boy,"Dance, Dance",78
85,3209,2Fk0WwAqTBesLtKg97nojy,Thomas Rhett,Crash and Burn,65
86,3299,2iuZJX9X9P0GKaE93xcPjk,Maroon 5,Sugar,81
87,2707,0inMKhbKWOTDA9UBUAKoU6,Bruno Mars,Natalie,61
88,3277,1NpDnkQO0yWxTtntrC0UNz,Rihanna,California King Bed,68
89,3205,6BtmXhTJMM9sBTHeYYASGz,Imagine Dragons,It's Time,67
90,3189,6ciLLh4TkPYDUfNxn2Z0KO,Selena Gomez & The Scene,Hit The Lights,59
91,2995,4CClW2SptqxoGjSxBMQt5A,Lupe Fiasco,Bitch Bad,30
92,3213,6TwfdLbaxTKzQi3AgsZNzx,Maroon 5,Daylight,64
93,2122,6qAcApH8obo8eqatCKUHd9,Taylor Swift,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),73
